Unnamed: 0,capacity,days,mileage,ave_Tem,mean_Q,median_Q,std_Q,delta_Q,mean_dV,median_dV,std_dV,delta_dV,mean_current,max_current,cha_end_v,t_min,t_min_mean
886,145.2899769,1015.211366,21335.1,21.19832827,10.33982299,10.97074614,5.096721217,18.24684386,36.0,35.0,3.665288997,19,70.99090909,94.7,4.219,16,18.38383838
887,140.6059101,1017.284167,21949.8,27.24864376,10.7856145,10.79283241,5.730603917,20.91368724,39.79710145,40.0,1.673144312,7,111.915942,112.7,4.211,27,28.10144928
888,140.4425307,1022.277488,23393.7,27.55667276,11.36335818,11.33683626,5.755278896,21.67112928,40.40277778,40.5,1.776855229,8,111.6486111,112.4,4.205,27,28.56944444
889,140.2734701,1025.250417,24217.4,21.1886646,8.010805748,7.617033431,4.910535412,17.65051986,36.76923077,37.0,3.281350085,21,83.78846154,95.9,4.22,19,21.07692308
890,139.610187,1034.25206,26170.7,24.26502732,10.59056125,10.56706579,5.80039224,20.67735761,40.20224719,40.0,3.727154457,26,89.35505618,96.1,4.22,20,22.17977528
891,140.0690808,1062.257407,33633.7,28.52994555,10.9856003,10.90835747,5.688515439,21.28946928,43.75714286,44.0,1.908145804,11,111.5214286,112.4,4.22,27,28.11428571
892,140.4541612,1063.251933,33932.4,25.67039587,10.00164448,10.38592891,4.90957368,17.96448085,38.22222222,38.0,2.784990635,12,94.97083333,112.5,4.22,23,24.30555556
893,145.029577,1065.258646,34503.4,29.62521891,10.91620652,10.6476241,5.72704729,22.58394921,45.58571429,46.0,3.030760664,17,110.7257143,112.8,4.215,33,33.57142857
894,139.7894152,1066.284178,34798.7,29.47889908,10.69615335,10.68397282,5.756469159,20.85028324,45.3,46.0,3.05356934,16,110.5171429,113.1,4.22,31,32.32857143
895,141.0749402,1067.289363,35083.4,28.03454231,11.12185832,11.05370012,5.718087861,21.55144293,43.62857143,44.0,1.943277266,12,112.0314286,113.0,4.205,29,30.77142857
896,140.3744613,1070.281007,35901.7,26.24955277,10.89588909,10.84039816,5.703452797,21.19239569,44.48571429,45.0,1.96935709,12,111.8457143,112.6,4.208,25,26.87142857
897,139.5870419,1079.280984,38229.8,30.57170543,11.02694627,10.97356432,5.666083911,21.22892002,46.41428571,47.0,2.154681661,12,111.9285714,112.8,4.203,30,31.0
898,144.6320522,1080.291655,38573.2,27.47933227,10.59118956,10.55310106,5.694816829,20.78176874,46.02898551,46.0,1.940947135,12,111.7231884,113.2,4.216,30,31.60869565
899,133.8729471,1082.277859,39102.8,26.42408907,8.368848878,7.908764519,5.40535527,18.28563455,45.57377049,46.0,1.868277162,10,111.1327869,113.2,4.201,25,25.98360656
900,140.9641204,1098.267442,42504.8,30.08823529,11.28643436,11.21548304,5.719530938,21.69843808,48.89552239,49.0,1.993529296,11,118.6104478,119.5,4.211,29,30.04477612
901,132.3150779,1105.28066,44300.7,26.83364662,11.3689696,11.26063296,5.856660385,21.96703781,49.41428571,50.0,2.094160979,13,117.4185714,119.5,4.203,25,27.12857143
