,x,SOC (%)
1099,1099,31
1100,1100,33
1101,1101,34
1102,1102,36
1103,1103,38
1104,1104,39
1105,1105,41
1106,1106,43
1107,1107,45
1108,1108,47
1109,1109,48
1110,1110,50
1111,1111,52
1112,1112,54
1113,1113,56
1114,1114,58
1115,1115,60
1116,1116,62
1117,1117,64
1118,1118,65
1119,1119,67
1120,1120,69
1121,1121,71
1122,1122,73
1123,1123,75
1124,1124,77
1125,1125,78
1126,1126,80
1127,1127,81
1128,1128,83
1129,1129,84
1130,1130,85
1131,1131,85
1132,1132,86
1133,1133,87
1134,1134,88
1135,1135,89
1136,1136,90
1137,1137,92
1138,1138,93
1139,1139,94
1140,1140,95
1141,1141,95
1142,1142,96
1143,1143,96
1144,1144,96
1145,1145,97
1146,1146,97
1147,1147,97
1148,1148,98
1149,1149,99
1150,1150,14
1151,1151,16
1152,1152,17
1153,1153,19
1154,1154,21
1155,1155,23
1156,1156,25
1157,1157,27
1158,1158,29
1159,1159,31
1160,1160,32
1161,1161,34
1162,1162,36
1163,1163,38
1164,1164,40
1165,1165,42
1166,1166,44
1167,1167,46
1168,1168,48
1169,1169,50
1170,1170,52
1171,1171,54
1172,1172,56
1173,1173,58
1174,1174,59
1175,1175,60
1176,1176,62
1177,1177,64
1178,1178,66
1179,1179,68
1180,1180,71
1181,1181,73
1182,1182,75
1183,1183,76
1184,1184,78
1185,1185,80
1186,1186,81
1187,1187,27
1188,1188,29
1189,1189,31
1190,1190,32
1191,1191,34
1192,1192,36
1193,1193,38
1194,1194,40
1195,1195,42
1196,1196,44
1197,1197,46
1198,1198,48
1199,1199,51
1200,1200,53
1201,1201,56
1202,1202,58
1203,1203,61
1204,1204,64
1205,1205,66
1206,1206,69
1207,1207,72
1208,1208,74
1209,1209,75
1210,1210,77
1211,1211,78
1212,1212,80
1213,1213,82
1214,1214,83
1215,1215,84
1216,1216,84
1217,1217,85
1218,1218,86
1219,1219,87
1220,1220,88
1221,1221,90
1222,1222,91
1223,1223,49
1224,1224,50
1225,1225,52
1226,1226,53
1227,1227,55
1228,1228,57
1229,1229,58
1230,1230,60
1231,1231,62
1232,1232,63
1233,1233,65
1234,1234,67
1235,1235,68
1236,1236,70
1237,1237,72
1238,1238,74
1239,1239,76
1240,1240,77
1241,1241,79
1242,1242,81
1243,1243,82
1244,1244,83
1245,1245,84
1246,1246,85
1247,1247,85
1248,1248,87
1249,1249,88
1250,1250,28
1251,1251,30
1252,1252,32
1253,1253,34
1254,1254,36
1255,1255,38
1256,1256,40
1257,1257,41
1258,1258,43
1259,1259,46
1260,1260,48
1261,1261,50
1262,1262,53
1263,1263,55
1264,1264,58
1265,1265,60
1266,1266,63
1267,1267,66
1268,1268,68
1269,1269,71
1270,1270,74
1271,1271,75
1272,1272,77
1273,1273,79
1274,1274,80
1275,1275,82
1276,1276,83
1277,1277,84
1278,1278,85
1279,1279,86
1280,1280,87
1281,1281,88
1282,1282,89
1283,1283,90
1284,1284,40
1285,1285,42
1286,1286,44
1287,1287,46
1288,1288,48
1289,1289,50
1290,1290,51
1291,1291,53
1292,1292,55
1293,1293,57
1294,1294,59
1295,1295,61
1296,1296,63
1297,1297,65
1298,1298,68
1299,1299,71
1300,1300,73
1301,1301,74
1302,1302,76
1303,1303,78
1304,1304,79
1305,1305,81
1306,1306,82
1307,1307,83
1308,1308,84
1309,1309,85
1310,1310,86
1311,1311,87
1312,1312,88
1313,1313,89
1314,1314,90
1315,1315,24
1316,1316,26
1317,1317,28
1318,1318,30
1319,1319,32
1320,1320,34
1321,1321,37
1322,1322,39
1323,1323,41
1324,1324,44
1325,1325,46
1326,1326,49
1327,1327,51
1328,1328,54
1329,1329,57
1330,1330,60
1331,1331,62
1332,1332,65
1333,1333,68
1334,1334,70
1335,1335,73
1336,1336,74
1337,1337,76
1338,1338,77
1339,1339,79
1340,1340,80
1341,1341,81
1342,1342,82
1343,1343,83
1344,1344,85
1345,1345,86
1346,1346,87
1347,1347,88
1348,1348,89
1349,1349,90
1350,1350,92
1351,1351,93
1352,1352,94
1353,1353,94
1354,1354,95
1355,1355,95
1356,1356,96
1357,1357,96
1358,1358,97
1359,1359,97
1360,1360,97
1361,1361,98
1362,1362,47
1363,1363,49
1364,1364,51
1365,1365,52
1366,1366,54
1367,1367,56
1368,1368,58
1369,1369,60
1370,1370,62
1371,1371,64
1372,1372,66
1373,1373,67
1374,1374,70
1375,1375,72
1376,1376,74
1377,1377,75
1378,1378,77
1379,1379,78
1380,1380,80
1381,1381,81
1382,1382,83
1383,1383,83
1384,1384,84
1385,1385,85
1386,1386,86
1387,1387,88
1388,1388,89
1389,1389,90
1390,1390,91
1391,1391,92
1392,1392,94
1393,1393,94
1394,1394,95
1395,1395,2
1396,1396,4
1397,1397,6
1398,1398,7
1399,1399,9
1400,1400,11
1401,1401,13
1402,1402,13
1403,1403,13
1404,1404,13
1405,1405,13
1406,1406,13
1407,1407,14
1408,1408,16
1409,1409,19
1410,1410,21
1411,1411,24
1412,1412,26
1413,1413,29
1414,1414,32
1415,1415,35
1416,1416,37
1417,1417,40
1418,1418,43
1419,1419,45
1420,1420,47
1421,1421,50
1422,1422,53
1423,1423,55
1424,1424,58
1425,1425,61
1426,1426,63
1427,1427,66
1428,1428,69
1429,1429,71
1430,1430,74
1431,1431,76
1432,1432,40
1433,1433,42
1434,1434,44
1435,1435,46
1436,1436,47
1437,1437,49
1438,1438,51
1439,1439,53
1440,1440,55
1441,1441,58
1442,1442,60
1443,1443,62
1444,1444,64
1445,1445,67
1446,1446,69
1447,1447,72
1448,1448,73
1449,1449,75
1450,1450,76
1451,1451,78
1452,1452,79
1453,1453,81
1454,1454,82
1455,1455,83
1456,1456,84
1457,1457,85
1458,1458,86
1459,1459,88
1460,1460,89
1461,1461,91
1462,1462,92
1463,1463,93
1464,1464,97
1465,1465,65
1466,1466,67
1467,1467,68
1468,1468,70
1469,1469,71
1470,1470,73
1471,1471,75
1472,1472,77
1473,1473,80
1474,1474,81
1475,1475,83
1476,1476,84
1477,1477,85
1478,1478,86
1479,1479,87
1480,1480,88
1481,1481,89
1482,1482,90
1483,1483,91
1484,1484,92
1485,1485,93
1486,1486,94
1487,1487,94
1488,1488,95
1489,1489,96
1490,1490,96
1491,1491,97
1492,1492,97
1493,1493,97
1494,1494,98
1495,1495,98
1496,1496,98
1497,1497,52
1498,1498,54
1499,1499,55
1500,1500,57
1501,1501,59
1502,1502,61
1503,1503,63
1504,1504,64
1505,1505,66
1506,1506,68
1507,1507,70
1508,1508,72
1509,1509,74
1510,1510,76
1511,1511,77
1512,1512,79
1513,1513,80
1514,1514,82
1515,1515,83
1516,1516,84
1517,1517,85
1518,1518,86
1519,1519,87
1520,1520,88
1521,1521,89
1522,1522,90
1523,1523,91
1524,1524,92
1525,1525,94
1526,1526,94
1527,1527,95
1528,1528,95
1529,1529,96
1530,1530,46
1531,1531,47
1532,1532,49
1533,1533,50
1534,1534,52
1535,1535,54
1536,1536,55
1537,1537,57
1538,1538,59
1539,1539,61
1540,1540,62
1541,1541,64
1542,1542,66
1543,1543,68
1544,1544,70
1545,1545,72
1546,1546,74
1547,1547,75
1548,1548,76
1549,1549,78
1550,1550,80
1551,1551,81
1552,1552,82
1553,1553,83
1554,1554,84
1555,1555,85
1556,1556,86
1557,1557,88
1558,1558,89
1559,1559,91
1560,1560,92
1561,1561,94
1562,1562,99
1563,1563,18
1564,1564,19
1565,1565,21
1566,1566,23
1567,1567,25
1568,1568,27
1569,1569,29
1570,1570,32
1571,1571,34
1572,1572,37
1573,1573,39
1574,1574,42
1575,1575,44
1576,1576,46
1577,1577,49
1578,1578,52
1579,1579,54
1580,1580,57
1581,1581,60
1582,1582,62
1583,1583,65
1584,1584,67
1585,1585,70
1586,1586,73
1587,1587,74
1588,1588,76
1589,1589,77
1590,1590,79
1591,1591,80
1592,1592,82
1593,1593,83
1594,1594,84
1595,1595,85
1596,1596,86
1597,1597,87
1598,1598,88
1599,1599,90
1600,1600,91
1601,1601,92
1602,1602,97
1603,1603,50
1604,1604,52
1605,1605,54
1606,1606,56
1607,1607,58
1608,1608,60
1609,1609,61
1610,1610,63
1611,1611,65
1612,1612,66
1613,1613,68
1614,1614,70
1615,1615,72
1616,1616,74
1617,1617,76
1618,1618,78
1619,1619,80
1620,1620,81
1621,1621,83
1622,1622,84
1623,1623,85
1624,1624,86
1625,1625,87
1626,1626,88
1627,1627,89
1628,1628,90
1629,1629,91
1630,1630,92
1631,1631,93
1632,1632,94
1633,1633,95
1634,1634,95
1635,1635,96
1636,1636,96
1637,1637,96
1638,1638,97
1639,1639,97
1640,1640,97
1641,1641,98
1642,1642,98
1643,1643,99
1644,1644,28
1645,1645,31
1646,1646,33
1647,1647,35
1648,1648,38
1649,1649,40
1650,1650,43
1651,1651,46
1652,1652,48
1653,1653,51
1654,1654,53
1655,1655,55
1656,1656,58
1657,1657,61
1658,1658,63
1659,1659,66
1660,1660,69
1661,1661,71
1662,1662,74
1663,1663,76
1664,1664,78
1665,1665,80
1666,1666,81
1667,1667,83
1668,1668,84
1669,1669,85
1670,1670,86
1671,1671,87
1672,1672,88
1673,1673,88
1674,1674,89
1675,1675,90
1676,1676,91
1677,1677,92
1678,1678,93
1679,1679,94
1680,1680,95
1681,1681,96
1682,1682,96
1683,1683,96
1684,1684,97
1685,1685,97
1686,1686,97
1687,1687,98
1688,1688,98
1689,1689,98
1690,1690,98
1691,1691,99
1692,1692,2
1693,1693,4
1694,1694,6
1695,1695,8
1696,1696,10
1697,1697,12
1698,1698,14
