,Max cell voltage (V),Min cell voltage (V),Cell voltage range (V)
178,4.064,4.023,0.04100000000000037
179,4.065,4.024,0.04100000000000037
180,4.065,4.025,0.040000000000000036
181,4.067,4.027,0.040000000000000036
182,4.068,4.027,0.04099999999999948
183,4.069,4.028,0.04100000000000037
184,4.07,4.029,0.04100000000000037
185,4.071,4.03,0.04099999999999948
186,4.073,4.032,0.04100000000000037
187,4.074,4.033,0.04099999999999948
188,4.075,4.034,0.04100000000000037
189,4.076,4.035,0.04099999999999948
190,4.077,4.036,0.04100000000000037
191,4.078,4.037,0.04100000000000037
192,4.079,4.038,0.04099999999999948
193,4.08,4.039,0.04100000000000037
194,4.082,4.04,0.041999999999999815
195,4.083,4.041,0.041999999999999815
196,4.084,4.042,0.041999999999999815
197,4.085,4.044,0.04100000000000037
198,4.086,4.045,0.04100000000000037
199,4.087,4.046,0.04099999999999948
200,4.088,4.047,0.04100000000000037
201,4.089,4.048,0.04100000000000037
202,4.091,4.049,0.041999999999999815
203,4.092,4.05,0.041999999999999815
204,4.092,4.051,0.04099999999999948
205,4.094,4.053,0.04100000000000037
206,4.095,4.054,0.04099999999999948
207,4.096,4.055,0.04100000000000037
208,4.097,4.056,0.04100000000000037
209,4.099,4.057,0.041999999999999815
210,4.099,4.058,0.04100000000000037
211,4.101,4.059,0.041999999999999815
212,4.102,4.061,0.04100000000000037
213,4.103,4.062,0.04099999999999948
214,4.104,4.062,0.041999999999999815
215,4.106,4.063,0.04300000000000015
216,4.106,4.065,0.04099999999999948
217,4.108,4.066,0.041999999999999815
218,4.109,4.067,0.041999999999999815
219,4.11,4.068,0.0420000000000007
220,4.111,4.069,0.041999999999999815
221,4.112,4.07,0.041999999999999815
222,4.114,4.072,0.041999999999999815
223,4.115,4.073,0.041999999999999815
224,4.115,4.073,0.041999999999999815
225,4.117,4.075,0.041999999999999815
226,4.118,4.076,0.0420000000000007
227,4.119,4.077,0.041999999999999815
228,4.12,4.078,0.041999999999999815
229,4.122,4.079,0.04300000000000015
230,4.123,4.08,0.04300000000000015
231,4.124,4.081,0.04299999999999926
232,4.125,4.083,0.041999999999999815
233,4.127,4.084,0.04300000000000015
234,4.128,4.085,0.04300000000000015
235,4.128,4.086,0.041999999999999815
236,4.13,4.087,0.04300000000000015
237,4.131,4.089,0.041999999999999815
238,4.132,4.09,0.041999999999999815
239,4.133,4.091,0.041999999999999815
240,4.134,4.092,0.0420000000000007
241,4.135,4.093,0.041999999999999815
242,4.137,4.095,0.041999999999999815
243,4.137,4.095,0.041999999999999815
244,4.139,4.097,0.041999999999999815
245,4.14,4.098,0.041999999999999815
246,4.142,4.099,0.04300000000000015
247,4.143,4.1,0.04300000000000015
248,4.144,4.101,0.04300000000000015
249,4.145,4.103,0.041999999999999815
250,4.146,4.104,0.041999999999999815
251,4.147,4.105,0.041999999999999815
252,4.148,4.106,0.041999999999999815
